oid_mitkan,ms_miklat,k_sug,t_sug,k_rechov,shem_recho,ms_bait,knisa,Full_Address,shem_rechov_eng,shetach_mr,k_sinon,t_sinon,hearot,h_sug,x_coord,y_coord,lon,lat,shem_baalim,shem,pail,from_time,to_time,opening_times,url_tik,telephone_henion,maneger_name,email,celolar,is_open,UniqueId,date_import,miklat_mungash
10618,1027,2.0,מקלט ציבורי במוסדות חינוך,3720.0,פיקוס,19, ,פיקוס 19 ,FIKUS               ,75.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""החשמונאים"". כניסה מהשער הראשי מול החנייה.",כן,176609.4434651,660433.02652672,34.75013049,32.03592397,,בית ספר חשמונאים,כשיר לשימוש,,,נפתח ידנית בשעת חירום,,,,,,כן,592-194,13/03/2026 10:13:17,
10619,1038,1.0,מקלט ציבורי,3235.0,אוהב ישראל,12, ,אוהב ישראל 12 ,OHEV YISRAEL        ,100.0,1.0,מערכת סינון,"המקלט נמצא בלב גן ""לוס אנג'לס"" בין בתים 12 ו-14. ניתן להגיע למקלט גם דרך רחוב כ""ץ יעקב יוסף 17 ורחוב שדרות חב""ד 46 דרך הגן. למקלט דלת נגררת הנפתחת בחירום ודרושה הזזתה ידנית לפתיחה מלאה.",לא,176731.33263815,660794.05503928,34.75140483,32.03918427,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-255,13/03/2026 10:13:17,
10620,108,1.0,מקלט ציבורי,891.0,אהוד,18, ,אהוד 18 ,EHUD                ,100.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא מול בית מספר 18, בתוך הגינה הציבורית ""גן יהודה"". קיים שביל מהכביש למקלט וניתן להגיע גם דרך הגינה מסביב - פתיחה אוטומטית בשעת חירום.",לא,184474.0296306,670054.72918682,34.83303878,32.12296198,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-183,13/03/2026 10:13:17,
10621,540,3.0,מקלט בשטח חניון,344.0,הוברמן (כיכר הבימה),4, ,הוברמן (כיכר הבימה) 4 ,HUBERMAN            ,2000.0,1.0,"מקלטים מוגנים אב""כ","מדובר ב- 4 מקלטים נפרדים בשטח החניון בנוסף לחניון המשמש כמחסה. קיימות מספר גישות מכיכר התרבות, חלקן אוטומטיות הנפתחות מהקרקע (כ-4 כאלה), חלקן דרך המעלית,מדרגות נעות. להלן חלוקת המקלטים - מפלס 1-, אזור 16. מפלס 2-, אזור 26. מפלס 3-,אזור 37,מפלס 4-,אזור 47.", ,179376.92539415,664374.99912321,34.77926413,32.07157357,,הבימה,כשיר לשימוש,,,חניון - קיימות דלתות חירום ידניות.,,,,,,כן,592-278,13/03/2026 10:13:17,
10622,414,1.0,מקלט ציבורי נגיש,327.0,אסתר המלכה,12, ,אסתר המלכה 12 ,,50.0,1.0,"מקלט מוגן אב""כ","מקלט נגיש לנכים בכניסה אחת. המקלט נמצא בכניסה הצפונית ל""גינת רות"" מול בניין מספר 17. למקלט 2 כניסות שאחת מהן נגישה לנכים.",לא,178990.51084555,665145.40721697,34.77513928,32.07850714,,גינת רות,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-248,13/03/2026 10:13:17,
10623,523,1.0,מקלט ציבורי,729.0,שדרות ההשכלה,38, ,שדרות ההשכלה 38 ,HAHASKALLA          ,90.0,0.0,ללא מערכת סינון,המקלט נמצא בשדרה מול בית מספר 38 ומול רחוב שביל גינצבורג 1.,לא,181009.10271138,664201.30787662,34.79655693,32.07006408,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-148,13/03/2026 10:13:17,
10624,209,1.0,מקלט ציבורי,984.0,רדינג,4, ,רדינג 4 ,READING             ,100.0,0.0,ללא מערכת סינון,"גישה למקלט דרך השבילים בין הבניינים 2,4 ו-6. גישה 2 דרך החנייה של הבריכה העירונית הלימודית ברחוב חיים לבנון 5 בשביל עד למקלט. גישה 3 דרך רחוב ברודצקי 4 בשביל בין הבניינים 4 ו-6, חולפים על פני מקלט 210 וממשיכים ישר עד למקלט 209.",לא,180848.42748326,667919.86115591,34.79470567,32.10359172,,,כשיר לשימוש,,,נפתח אוטומטית בשעת חירום.,,,,,,כן,592-81,13/03/2026 10:13:17,
10625,518,1.0,מקלט ציבורי נגיש,767.0,שביל החצב,8, ,שביל החצב 8 ,SHVIL HAHAZAV,50.0,1.0,"מקלט מוגן אב""כ","מקלט נגיש לנכים. גישה 1 למקלט - מרחוב שביל האספרגוס 16 מול מרכז קהילתי רמת ישראל ימינה לשביל החצב עד למקלט. גישה 2 - מרחוב דם המכבים 16 לרחוב שביל הרקפת מספר 17,קיימת כניסה נוספת למקלט.",לא,181327.26216307,663933.59049653,34.79993703,32.06766065,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-272,13/03/2026 10:13:17,
10626,87,4.0,חניון מחסה לציבור,8.0,רוטשילד,1, ,רוטשילד 1 ,ROTHSHILD           ,13200.0,0.0,ללא מערכת סינון ,כניסה ויציאה מרחוב הרצל ומרחוב אחד העם (חבס) בביקורת מ-21.7.14 לא קיבלו שילוט- לתאם מול איש הקשר, ,178331.42890984,663384.27571666,34.76823407,32.06260179,"שפיר הנדסה אזרחית וימית בע""מ",קצה השדרה,כשיר לשימוש,,,24 שעות,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\קצה השדרה,03-9169993 רונית ,אבי בן ארי,sapirs@shapir.co.il,0549090662,כן,592-132,13/03/2026 10:13:17,
10627,805,1.0,מקלט ציבורי,640.0,"שדרות החי""ל",18, ,"שדרות החי""ל 18 ",HAHAYIL             ,100.0,1.0,מערכת סינון,המקלט נמצא בשדרה מול בית מספר 18. ניתן להגיע גם דרך רחוב לוחמי גליפולי 12.,לא,180789.72739993,662656.64068362,34.79429582,32.05612704,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-162,13/03/2026 10:13:17,
10628,84,4.0,חניון מחסה לציבור,374.0,השרון,14, ,השרון 14 ,HARAKEVET           ,3080.0,0.0,ללא מערכת סינון,דרך הלובי פתוח כל השבוע 24 שעות - לא קבלו שלט!!!, ,179316.06930775,663329.27263857,34.77866333,32.06214125,"ריבקס השקעות בע""מ",פנינת הסיטי,כשיר לשימוש,,,"א-ה 06:00  עד 21:00
הלובי פתוח 24/7 , בחירום מוכן לפתוח אותו גם בשישי שבת
",\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\פנינת הסיטי,077-3351830,עופר נחום,,053-6600066,כן,592-231,13/03/2026 10:13:17,
10629,909,1.0,מקלט ציבורי,3573.0,שיפר,8, ,שיפר 8 ,SHIPER              ,100.0,1.0,מערכת סינון,המקלט נמצא מול בית מספר 8 פינת מימון שלמה 1 בסמוך לגינה הציבורית.,לא,179105.26700847,661872.58257048,34.77649219,32.04899757,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-172,13/03/2026 10:13:17,
10630,633,1.0,מקלט ציבורי,141.0,פינס,22, ,פינס 22 ,PINES               ,100.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא בין מקווה ""ספרא"" לחניון הבניין הפרטי מספר 18, דרך השביל הצמוד לרמפת הירידה לחניון.",לא,178075.54954656,663313.73161651,34.76552745,32.06195628,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-134,13/03/2026 10:13:17,
10631,530,1.0,מקלט ציבורי,661.0,דובנוב,8, ,דובנוב 8 ,DUBNOV              ,100.0,1.0,"מקלט מוגן אב""כ","המקלט צמוד למרכז מאירהוף לאמנות ול""קפה דובנוב 8"" אך קיימת אליו גישה נפרדת מחזית הרחוב. ניתן להגיע גם מגן ""ג'רי פנסר"" הנמצא בסמוך וכן מרחובות פריש דניאל 3 ולאונרדו דה וינצ'י 17.",לא,179738.94990812,664666.23253668,34.78308616,32.07421266,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-99,13/03/2026 10:13:17,
10632,420,3.0,מקלט בשטח חניון,200.0,הרברט סמואל,94, ,הרברט סמואל 94 ,SAMUEL              ,80.0,0.0,ללא מערכת סינון,"המקלט נמצא בתוך חניון מלון מגדל המלך דוד. למקלט קיימת גישה נפרדת מימין לכניסה לחניון בעזרת דלת נגררת וכניסה נוספת דרך החניון. המקלט בסמוך למלון דן ויכול לשרת את תושבי רחוב הירקון 94, פרישמן 3.",לא,178180.11469501,665145.24121674,34.76655603,32.07847627,,מלון מגדל המלך דוד,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-294,13/03/2026 10:13:17,
10633,844,1.0,מקלט ציבורי,1225.0,קלמר משה,6, ,קלמר משה 6 ,KALMAR              ,100.0,1.0,מערכת סינון,המקלט נמצא בסמוך לבית מספר 6 ולגן ילדים וליד המרכז הקהילתי בת ציון. מולו נמצא גם מקלט 845.,לא,181039.20575411,663332.84064364,34.79691048,32.06223342,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-161,13/03/2026 10:13:17,
10634,826,2.0,מקלט ציבורי במוסדות חינוך,644.0,אלון יגאל,31, ,אלון יגאל 31 ,YIG'AL ALLON        ,80.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""מודיעים"". ניתן להגיע בחירום ב-2 דרכים - 1. דרך השער הראשי ומיד שמאלה ואז ימינה בצמוד למבנה, ישר, חוצים מגרש וממול המקלט. 2. בצמוד לביה""ס קיים גן ""מירטל הירש"". מולו ומול המקלט יש שער הפתוח בחירום.",כן,180420.95487637,662602.64960697,34.79039312,32.05562746,,בית ספר מודיעים,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-110,13/03/2026 10:13:17,
10635,825,2.0,מקלט ציבורי במוסדות חינוך,4064.0,מושיע,21, ,מושיע 21 ,MOSHIA              ,100.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""הירדן"". למקלט 2 כניסות בחירום. הקלה מביניהן היא דרך שער פישפש הממוקם בצד האחורי של ביה""ס וניתן להגיע אליו דרך גן התקווה,בסמוך למקלט 808 ומול המיצג לזכר עופרה חזה בגבעה ממול. דרך נוספת היא דרך ביה""ס מהשער הראשי ודרך מבנה ביה""ס.",כן,180732.95331932,662099.26889231,34.7937171,32.05109881,,בית ספר גוונים- הירדן,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-140,13/03/2026 10:13:17,
10636,320,2.0,מקלט ציבורי במוסדות חינוך,490.0,דוד ילין,11, ,דוד ילין 11 ,DAVID YALIN,75.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""ארנון"". כניסה מהשער הראשי ישר עד למקלט.",כן,179860.90508126,666254.29179128,34.78431227,32.08853772,,בית ספר ארנון,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-241,13/03/2026 10:13:17,
10637,524,1.0,מקלט ציבורי,729.0,שדרות ההשכלה,14, ,שדרות ההשכלה 14 ,HAHASKALLA          ,90.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא בשדרה מול בית מספר 14.ניתן להגיע גם דרך רחוב קרמניצקי 16.,לא,180906.19856528,663754.56324236,34.79548506,32.0660319,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-203,13/03/2026 10:13:17,
10638,923,1.0,מקלט ציבורי נגיש,3546.0,פלקירה,5, ,פלקירה 5 ,FlAKERA             ,50.0,1.0,מערכת סינון,המקלט נמצא מול בית מספר 8 בין בתים 7 ו-3. ניתן להגיע גם דרך רחובות מסילת ישרים 55 וחובות הלבבות 16.,לא,179028.39989934,662170.02999278,34.77566581,32.05167715,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-295,13/03/2026 10:13:17,
10639,801,1.0,מקלט ציבורי,1078.0,רחבת הגייסות,1, ,רחבת הגייסות 1 ,HAGEISOT            ,100.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא במרכז הכיכר מול בית מספר 1,ניתן להגיע גם מרחוב המערכה 17. לרחוב שמות נוספים וידוע גם כ- הגייסות או כיכר הגייסות.",לא,180848.34848315,663245.87552017,34.79489287,32.06144267,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-412,13/03/2026 10:13:17,
10640,924,1.0,מקלט ציבורי נגיש,3589.0,כרם חמד,6, ,כרם חמד 6 ,KEREM CHEMED        ,50.0,0.0,ללא מערכת סינון,המקלט נמצא מול בית מספר 6 ומול בית מספר 2 ברחוב שטינברג. ניתן להגיע גם דרך השביל משמאל לבית מספר 9 ברחוב האסיף.,לא,179614.1267309,661878.85857939,34.78187976,32.04907224,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-53,13/03/2026 10:13:17,
10641,621,2.0,מקלט ציבורי במוסדות חינוך,150.0,יצחק אלחנן,4, ,יצחק אלחנן 4 ,,75.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס התיכון ""סמינר בית יעקב"". כניסה משער ראשי מרחוב אלחנן יצחק 4 וחוצים את בית הספר לצד השני לכיוון החנייה. במידה ושער החנייה פתוח ברחוב מטולה מול 12 ניתן להיכנס גם משם ולהגיע למקלט.",לא,178014.37345971,663543.65994294,34.76486971,32.06402748,,"בית ספר  ""סמינר בית יעקב""",כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-247,13/03/2026 10:13:17,
10642,1029,1.0,מקלט ציבורי,3233.0,ישראל מריז'ין,9, ,ישראל מריז'ין 9 ,YISRAEL MERIJIN     ,75.0,1.0,מערכת סינון,"המקלט נמצא בסוף הרחוב ברחבה בין בניינים 5,6,9 מול החנייה. המקלט עצמו מול בית מספר 9. ניתן להגיע מרחוב דב ממזריץ 17 או 15 ואז ימינה או שמאלה לרחוב מריז'ין.",לא,176931.973923,660753.75598207,34.75353078,32.03882843,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-165,13/03/2026 10:13:17,
10643,49,4.0,חניון מחסה לציבור,802.0,פנחס רוזן,72, ,פנחס רוזן 72 ,ROSEN               ,11520.0,0.0,ללא מערכת סינון,ניתן להגיע דרך הלובי 24 שעות! קיבל שילוט!, ,183746.65259793,669092.00182002,34.82536692,32.11425747,מיקדן,טופ דן,כשיר לשימוש,,,פתוח 24 שעות,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\טופ דן,053-2423603,רובי בן אברהם,mailto:RUBY@MEKDAN.COM,052-2727481,כן,592-90,13/03/2026 10:13:17,
10644,926,2.0,מקלט ציבורי במוסדות חינוך,3641.0,קפלנסקי,2, ,קפלנסקי 2 ,KAPLANSKI           ,100.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""דיזינגוף"". כניסה מהשער הראשי שנמצא מול קפלנסקי 2 ולפני מגרש הכדורסל ימינה וישר לדלת הכניסה.",כן,179237.55419628,661315.82178004,34.77791614,32.04398152,,בית ספר דיזנגוף,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-135,13/03/2026 10:13:17,
10645,116,1.0,מקלט ציבורי,842.0,"צה""ל",75, ,"צה""ל 75 ",TSAHAL              ,120.0,0.0,ללא מערכת סינון,"קיימות 2 כניסות מרכזיות למקלט - כניסה עליונה מרחוב צה""ל 75 מול המרכז המסחרי צהלה  - 2 דלתות, וכניסה תחתונה מרחוב שמגר 1 מול בית מספר 2 - פתיחה אוטומטית בשעת חירום.",לא,184605.20381683,669833.73787308,34.83443683,32.1209732,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-301,13/03/2026 10:13:17,
10646,925,1.0,מקלט ציבורי נגיש,3648.0,דשבסקי,7, ,דשבסקי 7 ,DASHEVSKY           ,50.0,0.0,ללא מערכת סינון,המקלט נמצא מול בית מספר 7 על רחבת אי התנועה. ניתן להגיע למקלט גם דרך רחוב שדרות גורי ישראל 39-41.,לא,179379.81239824,661287.08173924,34.77942349,32.0437274,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-207,13/03/2026 10:13:17,
10647,17,4.0,חניון מחסה לציבור,11.0,אחד העם,9, ,אחד העם 9 ,AHAD HA'AM       ,19500.0,0.0,ללא מערכת סינון, , ,178401.40200918,663474.24584439,34.76897122,32.06341567,"בית הרכב בע""מ",בית הרכב מגדל שלום,כשיר לשימוש,6:00 ,19:30 שישי עד 15:00,א'-ה' מ 06:00 עד 19:30 שישי משעה 6:00 עד 15:00 ,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\בית הרכב,03-5105888,חזי נחתומי,beit.harehev@gmail.com,050-6611161,כן,592-220,13/03/2026 10:13:17,
10648,42,4.0,חניון מחסה לציבור,473.0,פריש דניאל,3, ,פריש דניאל 3 ,FRISCH              ,6150.0,0.0,ללא מערכת סינון,אין, ,179688.9298371,664663.41053267,34.78255652,32.07418545,סנטרל פארק,מגדל פסגות,כשיר לשימוש,,,פתוח 24 שעות ביממה ,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\המגדל,03-5170382,מישל,,054-5557999,כן,592-229,13/03/2026 10:13:17,
10649,820,1.0,מקלט ציבורי,3687.0,תמוז,8, ,תמוז 8 ,TAMUZ               ,100.0,1.0,מערכת סינון,מול בית מספר 8 בצמוד לגן השוטרת.,לא,180381.73682069,661325.99979449,34.79002974,32.04411349,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-63,13/03/2026 10:13:17,
10650,311,1.0,מקלט ציבורי,247.0,פקיעין,18, ,פקיעין 18 ,GRIZIM              ,125.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא במתחם מגודר בסמוך לגן גריזים. הכניסה הראשית לחניון הכורכר של המתחם נמצאת מול בית מספר 18. כניסה רגלית נוספת דרך שער בין השיחים מול פקיעין 10.,לא,179094.11299263,666321.79888711,34.7761871,32.08911929,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-39,13/03/2026 10:13:17,
10651,1002,2.0,מקלט ציבורי במוסדות חינוך,3736.0,פסטלוצי,31, ,פסטלוצי 31 ,PESTALIZZI          ,90.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""לב יפו אלזהראא"" - מגיעים לסוף רחוב פסטלוצי ליד בית מספר 29 נמצא שער הכניסה לבי""ס ופונים מגמה שמאלה למגרש הכדורסל הפתוח, המקלט נמצא בקצהו.",כן,177274.99140999,661623.9522175,34.75712409,32.04668856,,"ביה""ס ""לב יפו אלזהראא""",כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-365,13/03/2026 10:13:17,
10652,809,2.0,מקלט ציבורי במוסדות חינוך,3843.0,"לח""י",66, ,"לח""י 66 ",LEHI                ,120.0,0.0,ללא מערכת סינון,"בחירום - מימין לתחנת האוטובוס ברחוב לח""י 66 קיים שער הנפתח בחירום. השער מוביל לרחבה בתוך ביה""ס מפתן אלון, ברחבה זו קיימים 2 מקלטים, מימין, מקלט 809 ומשמאל מקלט 810. אם השער לא פתוח יש להמשיך ישר ואחרי תחנת האוטובוס ימינה לחנייה. בהמשך נמצא שער עמדת השומר.",כן,180911.74857316,661614.70920438,34.79562967,32.04673524,,בית ספר יחד,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-120,13/03/2026 10:13:17,
10653,40,4.0,חניון מחסה לציבור,11.0,אחד העם,54, ,אחד העם 54 ,AHAD HA'AM          ,3600.0,0.0,ללא מערכת סינון, , ,178843.8306373,663565.0399733,34.77365256,32.06425045,חברת הראל,אחד העם 54,כשיר לשימוש,,,א'-ה' מ 06:30 עד 20:00,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\הבורסה לניירות ערך,03-5677478,זאב חדש-אב הבית,hananc@ease.co.il,054-8145068 זאב,כן,592-364,13/03/2026 10:13:17,
10654,842,1.0,מקלט ציבורי,637.0,שדרות יד לבנים,22, ,שדרות יד לבנים 22 ,YAD LABANIM         ,100.0,1.0,מערכת סינון,המקלט נמצא בשדרה מול בית מספר 22 ובסמוך לסניף קופת חולים כללית בשדרות יד לבנים 35. למקלט דלת נגררת הנפתחת בחירום ונדרש רק לדחוף אותה קדימה.,לא,181057.77078047,663135.70336376,34.79711495,32.0604563,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-355,13/03/2026 10:13:17,
10655,1009,1.0,מקלט ציבורי,3409.0,אפלטון,9, ,אפלטון 9 ,APHALTON            ,335.0,1.0,מערכת סינון,המקלט נמצא בצמוד ובכניסה לבניין הדיור המוגן לקשישים ובעצם ממוקם בקומת הקרקע שלו אך הכניסה אליו עצמאית ואינה מצריכה כניסה לבניין עצמו.,לא,176270.04398325,660147.36612116,34.74655026,32.03333501,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-98,13/03/2026 10:13:17,
10656,138,1.0,מקלט ציבורי,905.0,מרכוס דוד,18, ,מרכוס דוד 18 ,MARKUS              ,100.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא בין בניינים 16 ו-20, בכניסה לגן סעדיה שושני דרום. גישה נוספת מרחוב טריטש 15 לתוך הגן.",לא,184649.09687914,668980.54966179,34.83493295,32.11328068,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-398,13/03/2026 10:13:17,
10657,718,1.0,מקלט ציבורי,644.0,אלון יגאל,46, ,אלון יגאל 46 ,YIG'AL ALLON        ,100.0,0.0,ללא מערכת סינון,המקלט נמצא מול בניין מספר 46 בצמוד לכביש בפינת רחוב לה גוארדיה 36. בשטח המגונן מול 46 קיימת הגבהה עם דלת נגררת.,לא,180515.90001117,662918.81405584,34.79138566,32.05848186,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-296,13/03/2026 10:13:17,
