Manufacturer,Model,Year,Fuel_Type,Original_Price_ILS,Current_Price_ILS,Mileage_km,Hand,Ownership_Type
Kia,Sportage,2024,Petrol,175000,168537,1000,1,Private
Kia,Sportage,2018,Petrol,175000,101390,105952,2,Private
Skoda,Octavia,2018,Petrol,160000,108534,103534,1,Leasing
Tesla,Model 3,2024,Electric,200000,183185,1000,1,Private
BYD,Atto 3,2023,Electric,165000,54209,28719,2,Private
Kia,Sportage,2018,Petrol,175000,56852,111169,3,Private
Tesla,Model 3,2019,Electric,200000,128773,86140,2,Company
Skoda,Octavia,2018,Petrol,160000,20000,116306,1,Private
Mazda,Mazda 3,2024,Petrol,150000,88386,8277,1,Private
Kia,Sportage,2022,Petrol,175000,151306,33685,2,Private
Tesla,Model 3,2024,Electric,200000,189872,1000,1,Private
Mazda,Mazda 3,2021,Petrol,150000,43348,63360,1,Private
Skoda,Octavia,2022,Petrol,160000,140019,34378,2,Private
Toyota,Corolla,2022,Hybrid,155000,107055,38623,1,Private
Mazda,Mazda 3,2019,Petrol,150000,77087,90349,3,Leasing
Kia,Sportage,2021,Petrol,175000,140742,52073,1,Private
Tesla,Model 3,2021,Electric,200000,109590,56196,2,Private
Hyundai,Tucson,2022,Petrol,175000,136021,35457,3,Private
Renault,Megane,2022,Diesel,140000,120991,33053,2,Private
Renault,Megane,2021,Diesel,140000,45123,58248,1,Leasing
Tesla,Model 3,2018,Electric,200000,20000,117352,3,Private
Mazda,Mazda 3,2024,Petrol,150000,70669,8440,1,Company
Toyota,Corolla,2024,Hybrid,155000,126977,4127,1,Private
BYD,Atto 3,2018,Electric,165000,35394,112067,2,Private
BYD,Atto 3,2021,Electric,165000,75539,55960,3,Company
Tesla,Model 3,2022,Electric,200000,155580,35377,3,Private
Tesla,Model 3,2021,Electric,200000,41002,63068,3,Private
Toyota,Corolla,2022,Hybrid,155000,114712,38022,2,Private
Geely,Geometry C,2019,Electric,155000,142017,82091,1,Private
Mazda,Mazda 3,2018,Petrol,150000,71283,108395,1,Leasing
Kia,Sportage,2022,Petrol,175000,52843,43391,2,Company
Kia,Sportage,2022,Petrol,175000,175000,31602,1,Private
BYD,Atto 3,2021,Electric,165000,64993,57237,3,Leasing
Geely,Geometry C,2024,Electric,155000,129750,2680,1,Private
Toyota,Corolla,2023,Hybrid,155000,70172,24794,1,Company
Tesla,Model 3,2023,Electric,200000,163430,16568,1,Company
Kia,Sportage,2020,Petrol,175000,106943,72122,1,Private
Toyota,Corolla,2022,Hybrid,155000,112785,38489,2,Private
Geely,Geometry C,2020,Electric,155000,90777,71445,1,Private
Renault,Megane,2019,Diesel,140000,26410,94881,2,Private
BYD,Atto 3,2020,Electric,165000,81098,73708,1,Private
Kia,Sportage,2022,Petrol,175000,37806,45380,2,Company
Geely,Geometry C,2019,Electric,155000,115535,83841,1,Leasing
Toyota,Corolla,2020,Hybrid,155000,89603,72947,1,Leasing
Toyota,Corolla,2022,Hybrid,155000,111228,37093,1,Company
Tesla,Model 3,2024,Electric,200000,171906,1000,1,Leasing
Kia,Sportage,2018,Petrol,175000,109826,104301,1,Company
Toyota,Corolla,2018,Hybrid,155000,113644,104753,2,Private
Hyundai,Tucson,2023,Petrol,175000,133749,18574,2,Leasing
Geely,Geometry C,2018,Electric,155000,20000,115756,3,Private
Tesla,Model 3,2023,Electric,200000,200000,13175,2,Private
Hyundai,Tucson,2019,Petrol,175000,65425,93430,2,Private
Hyundai,Tucson,2021,Petrol,175000,175000,43853,3,Private
Kia,Sportage,2018,Petrol,175000,20000,117806,1,Leasing
Toyota,Corolla,2019,Hybrid,155000,96169,90640,2,Private
Kia,Sportage,2024,Petrol,175000,161303,1000,1,Private
Skoda,Octavia,2021,Petrol,160000,118682,51430,3,Leasing
Hyundai,Tucson,2022,Petrol,175000,175000,30703,2,Private
Hyundai,Tucson,2021,Petrol,175000,130815,52820,2,Private
Hyundai,Tucson,2018,Petrol,175000,87327,107616,2,Private
Geely,Geometry C,2024,Electric,155000,132981,1000,1,Leasing
Toyota,Corolla,2019,Hybrid,155000,94603,91069,1,Private
BYD,Atto 3,2024,Electric,165000,134761,3998,1,Private
Renault,Megane,2019,Diesel,140000,58021,90345,1,Private
Kia,Sportage,2024,Petrol,175000,111717,4334,1,Leasing
Hyundai,Tucson,2019,Petrol,175000,73611,92355,2,Private
Geely,Geometry C,2024,Electric,155000,143850,1000,1,Private
Geely,Geometry C,2018,Electric,155000,70053,107761,1,Private
Kia,Sportage,2018,Petrol,175000,111807,103630,3,Leasing
Renault,Megane,2018,Diesel,140000,50147,107983,3,Private
BYD,Atto 3,2019,Electric,165000,128545,82923,3,Company
Toyota,Corolla,2022,Hybrid,155000,104360,38977,2,Private
BYD,Atto 3,2023,Electric,165000,165000,15038,1,Private
Kia,Sportage,2020,Petrol,175000,148733,67680,3,Private
Skoda,Octavia,2019,Petrol,160000,46546,93987,3,Leasing
Renault,Megane,2023,Diesel,140000,101379,18726,1,Leasing
Renault,Megane,2019,Diesel,140000,21117,94665,2,Company
BYD,Atto 3,2018,Electric,165000,104679,104191,1,Private
Skoda,Octavia,2022,Petrol,160000,95481,39821,1,Private
Hyundai,Tucson,2019,Petrol,175000,101069,90053,1,Private
Renault,Megane,2019,Diesel,140000,20000,101949,3,Private
Hyundai,Tucson,2023,Petrol,175000,169245,14977,1,Leasing
Kia,Sportage,2020,Petrol,175000,104179,72917,1,Private
Kia,Sportage,2022,Petrol,175000,107947,37765,1,Leasing
BYD,Atto 3,2018,Electric,165000,73532,106648,3,Leasing
Skoda,Octavia,2018,Petrol,160000,43996,112738,3,Private
Toyota,Corolla,2018,Hybrid,155000,56650,111434,1,Company
Kia,Sportage,2023,Petrol,175000,175000,6302,2,Private
BYD,Atto 3,2024,Electric,165000,137751,1000,1,Leasing
Skoda,Octavia,2018,Petrol,160000,33386,113271,1,Leasing
Toyota,Corolla,2023,Hybrid,155000,98704,21293,1,Leasing
Skoda,Octavia,2022,Petrol,160000,160000,31454,3,Private
BYD,Atto 3,2024,Electric,165000,159537,1000,1,Private
Hyundai,Tucson,2020,Petrol,175000,89370,73886,3,Private
Tesla,Model 3,2021,Electric,200000,200000,45106,3,Private
Renault,Megane,2023,Diesel,140000,61782,25480,2,Private
BYD,Atto 3,2021,Electric,165000,54277,60024,3,Private
Renault,Megane,2018,Diesel,140000,21214,111362,2,Company
Tesla,Model 3,2022,Electric,200000,154674,33987,3,Company
Mazda,Mazda 3,2020,Petrol,150000,110752,69854,3,Private
Geely,Geometry C,2019,Electric,155000,110834,84939,1,Leasing
Mazda,Mazda 3,2019,Petrol,150000,140152,81725,3,Leasing
Kia,Sportage,2023,Petrol,175000,150625,17966,2,Private
Skoda,Octavia,2019,Petrol,160000,141612,83404,2,Private
BYD,Atto 3,2018,Electric,165000,71209,106655,3,Company
Toyota,Corolla,2022,Hybrid,155000,152092,30467,2,Leasing
Kia,Sportage,2023,Petrol,175000,175000,15131,1,Private
Kia,Sportage,2019,Petrol,175000,109514,87265,1,Leasing
Hyundai,Tucson,2023,Petrol,175000,175000,7608,2,Leasing
Renault,Megane,2022,Diesel,140000,127092,29796,3,Company
Kia,Sportage,2023,Petrol,175000,95474,25074,1,Private
Renault,Megane,2018,Diesel,140000,47384,108625,1,Private
Renault,Megane,2023,Diesel,140000,88669,22062,1,Private
Hyundai,Tucson,2020,Petrol,175000,175000,62596,2,Private
BYD,Atto 3,2021,Electric,165000,143985,48594,3,Private
Mazda,Mazda 3,2018,Petrol,150000,46996,111079,3,Leasing
Kia,Sportage,2021,Petrol,175000,48133,60836,1,Leasing
Hyundai,Tucson,2020,Petrol,175000,65165,76791,3,Private
Tesla,Model 3,2023,Electric,200000,200000,14863,1,Private
Skoda,Octavia,2021,Petrol,160000,52526,60258,1,Leasing
Mazda,Mazda 3,2018,Petrol,150000,20000,119392,1,Private
Mazda,Mazda 3,2018,Petrol,150000,150000,94079,2,Private
Hyundai,Tucson,2024,Petrol,175000,136800,4750,1,Private
Geely,Geometry C,2023,Electric,155000,112598,20697,2,Private
Mazda,Mazda 3,2022,Petrol,150000,63822,44102,1,Private
Toyota,Corolla,2019,Hybrid,155000,41367,97852,1,Private
Hyundai,Tucson,2021,Petrol,175000,114952,54736,1,Private
BYD,Atto 3,2018,Electric,165000,78282,106887,3,Private
Hyundai,Tucson,2024,Petrol,175000,129402,2466,1,Leasing
BYD,Atto 3,2024,Electric,165000,157942,1000,1,Private
Toyota,Corolla,2023,Hybrid,155000,155000,15599,1,Private
Geely,Geometry C,2022,Electric,155000,23487,47492,3,Private
Kia,Sportage,2020,Petrol,175000,102626,70461,3,Company
Geely,Geometry C,2024,Electric,155000,142381,1000,1,Private
Renault,Megane,2020,Diesel,140000,33167,76083,3,Leasing
Renault,Megane,2018,Diesel,140000,29422,111093,2,Private
Geely,Geometry C,2022,Electric,155000,111070,34448,3,Company
Skoda,Octavia,2019,Petrol,160000,87434,90578,3,Private
Geely,Geometry C,2020,Electric,155000,88239,71802,2,Private
Mazda,Mazda 3,2018,Petrol,150000,56673,111407,2,Private
Hyundai,Tucson,2020,Petrol,175000,151895,66787,3,Private
Renault,Megane,2018,Diesel,140000,20000,114389,1,Private
Toyota,Corolla,2022,Hybrid,155000,155000,29252,3,Private
Mazda,Mazda 3,2022,Petrol,150000,105801,38927,1,Private
Mazda,Mazda 3,2023,Petrol,150000,90490,24115,1,Private
Renault,Megane,2021,Diesel,140000,102986,50582,3,Private
Mazda,Mazda 3,2021,Petrol,150000,138950,49636,3,Private
Hyundai,Tucson,2021,Petrol,175000,83025,57968,2,Private
Toyota,Corolla,2022,Hybrid,155000,128558,35826,1,Private
Tesla,Model 3,2022,Electric,200000,142226,37171,1,Private
Renault,Megane,2024,Diesel,140000,129457,1000,1,Private
BYD,Atto 3,2021,Electric,165000,78538,57374,3,Private
Skoda,Octavia,2022,Petrol,160000,137749,35358,1,Private
Skoda,Octavia,2022,Petrol,160000,146251,33494,1,Private
Geely,Geometry C,2020,Electric,155000,62036,75157,3,Private
Toyota,Corolla,2020,Hybrid,155000,20000,84269,3,Private
Geely,Geometry C,2018,Electric,155000,155000,96771,3,Private
Geely,Geometry C,2019,Electric,155000,101725,85608,2,Leasing
Tesla,Model 3,2020,Electric,200000,125932,71115,3,Private
Hyundai,Tucson,2023,Petrol,175000,175000,14008,1,Private
Tesla,Model 3,2022,Electric,200000,156576,35917,2,Private
Renault,Megane,2019,Diesel,140000,20000,95941,3,Leasing
Renault,Megane,2020,Diesel,140000,75875,70108,3,Leasing
Geely,Geometry C,2022,Electric,155000,95285,38733,2,Private
Mazda,Mazda 3,2022,Petrol,150000,115897,34148,2,Company
Hyundai,Tucson,2023,Petrol,175000,175000,13832,1,Private
Toyota,Corolla,2018,Hybrid,155000,131149,101200,1,Leasing
Mazda,Mazda 3,2019,Petrol,150000,53701,93731,1,Company
Tesla,Model 3,2022,Electric,200000,156680,33222,2,Company
Skoda,Octavia,2018,Petrol,160000,61414,110458,2,Private
Renault,Megane,2020,Diesel,140000,92562,69067,3,Private
Mazda,Mazda 3,2022,Petrol,150000,32350,45554,3,Leasing
Kia,Sportage,2020,Petrol,175000,136580,69224,2,Private
Kia,Sportage,2022,Petrol,175000,57652,45405,1,Private
BYD,Atto 3,2019,Electric,165000,112722,86382,3,Private
Renault,Megane,2021,Diesel,140000,49753,57655,1,Company
BYD,Atto 3,2023,Electric,165000,162704,16281,1,Private
Hyundai,Tucson,2022,Petrol,175000,66087,43746,3,Private
Hyundai,Tucson,2024,Petrol,175000,63411,12577,1,Private
Tesla,Model 3,2024,Electric,200000,190461,1000,1,Private
Mazda,Mazda 3,2020,Petrol,150000,128149,68750,2,Private
Geely,Geometry C,2023,Electric,155000,96659,22686,2,Private
BYD,Atto 3,2021,Electric,165000,163330,46566,3,Private
Hyundai,Tucson,2020,Petrol,175000,95684,73582,1,Private
Hyundai,Tucson,2023,Petrol,175000,77813,24075,2,Leasing
Skoda,Octavia,2020,Petrol,160000,78227,75710,1,Private
Skoda,Octavia,2023,Petrol,160000,160000,14952,2,Private
Hyundai,Tucson,2018,Petrol,175000,122467,102267,1,Leasing
BYD,Atto 3,2019,Electric,165000,122133,84991,3,Private
Hyundai,Tucson,2019,Petrol,175000,109947,88594,3,Private
Kia,Sportage,2020,Petrol,175000,95105,72298,2,Company
BYD,Atto 3,2023,Electric,165000,147872,14765,1,Leasing
BYD,Atto 3,2021,Electric,165000,48664,60757,3,Private
Hyundai,Tucson,2023,Petrol,175000,128730,20320,2,Private
Kia,Sportage,2019,Petrol,175000,115814,88232,1,Private
Mazda,Mazda 3,2020,Petrol,150000,150000,61866,2,Private
Tesla,Model 3,2018,Electric,200000,126840,103783,3,Private
Toyota,Corolla,2024,Hybrid,155000,151588,1000,1,Private
Renault,Megane,2021,Diesel,140000,24548,60922,2,Company
Toyota,Corolla,2020,Hybrid,155000,83163,75787,1,Private
BYD,Atto 3,2019,Electric,165000,24813,96584,3,Private
Skoda,Octavia,2022,Petrol,160000,107972,38196,3,Private
Toyota,Corolla,2020,Hybrid,155000,124608,69618,2,Private
Hyundai,Tucson,2024,Petrol,175000,110327,6941,1,Private
Geely,Geometry C,2023,Electric,155000,138327,17000,2,Private
Hyundai,Tucson,2024,Petrol,175000,164801,1000,1,Private
Geely,Geometry C,2021,Electric,155000,67233,58036,3,Private
BYD,Atto 3,2022,Electric,165000,165000,29771,3,Private
Kia,Sportage,2023,Petrol,175000,145044,18384,2,Private
Tesla,Model 3,2021,Electric,200000,175100,47585,3,Company
Skoda,Octavia,2021,Petrol,160000,55685,61022,3,Private
Toyota,Corolla,2021,Hybrid,155000,155000,45972,3,Leasing
BYD,Atto 3,2019,Electric,165000,121598,83813,1,Company
Toyota,Corolla,2020,Hybrid,155000,83745,75146,2,Private
Hyundai,Tucson,2020,Petrol,175000,65436,76581,3,Private
Mazda,Mazda 3,2021,Petrol,150000,94108,55732,2,Private
BYD,Atto 3,2019,Electric,165000,56346,93063,2,Private
Skoda,Octavia,2022,Petrol,160000,160000,30732,3,Private
Mazda,Mazda 3,2024,Petrol,150000,143843,1000,1,Private
Renault,Megane,2024,Diesel,140000,122452,1824,1,Private
Renault,Megane,2018,Diesel,140000,20000,113527,3,Company
Tesla,Model 3,2018,Electric,200000,30809,113935,2,Private
Skoda,Octavia,2024,Petrol,160000,135800,1000,1,Leasing
Geely,Geometry C,2020,Electric,155000,73261,73643,2,Private
Skoda,Octavia,2020,Petrol,160000,83472,74987,1,Private
Toyota,Corolla,2023,Hybrid,155000,111038,21505,2,Private
Toyota,Corolla,2021,Hybrid,155000,70187,59857,3,Private
Toyota,Corolla,2018,Hybrid,155000,20000,118141,3,Private
Kia,Sportage,2023,Petrol,175000,103144,24345,1,Private
Hyundai,Tucson,2023,Petrol,175000,120564,21488,2,Private
Tesla,Model 3,2019,Electric,200000,183587,81846,3,Private
Hyundai,Tucson,2021,Petrol,175000,113824,54854,3,Private
Mazda,Mazda 3,2024,Petrol,150000,142262,1000,1,Private
Kia,Sportage,2019,Petrol,175000,28242,97653,2,Private
BYD,Atto 3,2023,Electric,165000,100106,22854,1,Private
Hyundai,Tucson,2019,Petrol,175000,115936,86912,1,Company
Mazda,Mazda 3,2024,Petrol,150000,135400,1646,1,Private
Toyota,Corolla,2019,Hybrid,155000,90075,91974,1,Private
BYD,Atto 3,2023,Electric,165000,127370,19119,2,Private
Mazda,Mazda 3,2023,Petrol,150000,83238,24820,2,Private
Geely,Geometry C,2024,Electric,155000,132767,1000,1,Leasing
Toyota,Corolla,2019,Hybrid,155000,20000,98747,3,Leasing
Kia,Sportage,2021,Petrol,175000,25756,63097,2,Leasing
Mazda,Mazda 3,2019,Petrol,150000,127024,85859,1,Private
Hyundai,Tucson,2018,Petrol,175000,95897,107073,1,Private
Geely,Geometry C,2023,Electric,155000,139851,17350,1,Private
Hyundai,Tucson,2020,Petrol,175000,35043,80361,2,Private
Toyota,Corolla,2020,Hybrid,155000,72646,76614,3,Private
BYD,Atto 3,2019,Electric,165000,52345,93406,1,Private
Toyota,Corolla,2021,Hybrid,155000,125124,52632,3,Private
Skoda,Octavia,2018,Petrol,160000,119959,102887,2,Private
Tesla,Model 3,2023,Electric,200000,68670,28399,2,Private
Kia,Sportage,2023,Petrol,175000,120609,21474,2,Private
Skoda,Octavia,2021,Petrol,160000,21871,63732,2,Company
Geely,Geometry C,2024,Electric,155000,150267,1000,1,Private
Toyota,Corolla,2021,Hybrid,155000,96153,54406,3,Company
Kia,Sportage,2023,Petrol,175000,100685,24065,1,Private
Renault,Megane,2024,Diesel,140000,117208,1000,1,Leasing
Skoda,Octavia,2021,Petrol,160000,155199,48647,2,Private
Geely,Geometry C,2018,Electric,155000,100853,103551,1,Private
Mazda,Mazda 3,2019,Petrol,150000,64445,91942,3,Leasing
Tesla,Model 3,2021,Electric,200000,20000,66464,2,Private
Skoda,Octavia,2019,Petrol,160000,22755,97380,2,Leasing
Mazda,Mazda 3,2021,Petrol,150000,69602,59417,2,Private
Hyundai,Tucson,2020,Petrol,175000,156900,66817,2,Private
Geely,Geometry C,2022,Electric,155000,64639,42565,2,Private
Toyota,Corolla,2023,Hybrid,155000,127271,19434,2,Private
Renault,Megane,2022,Diesel,140000,100972,35421,2,Private
BYD,Atto 3,2019,Electric,165000,52737,93628,1,Private
Mazda,Mazda 3,2020,Petrol,150000,118565,69705,3,Private
Geely,Geometry C,2019,Electric,155000,20000,98197,3,Private
Kia,Sportage,2018,Petrol,175000,89828,107503,3,Private
Kia,Sportage,2024,Petrol,175000,172856,1000,1,Private
Toyota,Corolla,2022,Hybrid,155000,116226,36852,3,Private
BYD,Atto 3,2021,Electric,165000,75896,56353,1,Leasing
Kia,Sportage,2024,Petrol,175000,142852,3650,1,Private
Mazda,Mazda 3,2022,Petrol,150000,103409,38091,3,Private
Skoda,Octavia,2023,Petrol,160000,150223,17490,1,Private
Renault,Megane,2024,Diesel,140000,117401,1000,1,Leasing
Tesla,Model 3,2019,Electric,200000,41200,95164,1,Company
Kia,Sportage,2018,Petrol,175000,164203,98199,3,Private
Hyundai,Tucson,2021,Petrol,175000,30454,64302,2,Private
BYD,Atto 3,2022,Electric,165000,62166,43355,1,Private
Renault,Megane,2018,Diesel,140000,59829,106953,1,Private
Toyota,Corolla,2019,Hybrid,155000,93267,89561,1,Leasing
Renault,Megane,2020,Diesel,140000,66882,72763,2,Private
Mazda,Mazda 3,2022,Petrol,150000,103102,38299,1,Private
Renault,Megane,2018,Diesel,140000,65745,104611,3,Leasing
Renault,Megane,2020,Diesel,140000,94365,67987,2,Company
Kia,Sportage,2024,Petrol,175000,96049,6494,1,Leasing
Tesla,Model 3,2022,Electric,200000,89410,41928,2,Private
Toyota,Corolla,2024,Hybrid,155000,106183,3594,1,Leasing
Geely,Geometry C,2019,Electric,155000,110902,85693,1,Private
Hyundai,Tucson,2019,Petrol,175000,135967,85597,1,Private
Hyundai,Tucson,2023,Petrol,175000,98783,22158,2,Leasing
Toyota,Corolla,2019,Hybrid,155000,98164,89861,3,Private
Geely,Geometry C,2019,Electric,155000,87609,88893,2,Private
Mazda,Mazda 3,2024,Petrol,150000,128672,1000,1,Leasing
Hyundai,Tucson,2022,Petrol,175000,132973,34756,2,Leasing
Skoda,Octavia,2023,Petrol,160000,79964,26036,1,Private
Hyundai,Tucson,2019,Petrol,175000,64543,91998,3,Company
Mazda,Mazda 3,2021,Petrol,150000,140302,50743,1,Private
Toyota,Corolla,2020,Hybrid,155000,89681,74827,1,Private
Geely,Geometry C,2022,Electric,155000,155000,27196,3,Private
Renault,Megane,2018,Diesel,140000,32587,110695,3,Private
Geely,Geometry C,2019,Electric,155000,55255,91708,1,Leasing
Hyundai,Tucson,2018,Petrol,175000,45983,111432,2,Leasing
Toyota,Corolla,2023,Hybrid,155000,155000,6933,2,Leasing
BYD,Atto 3,2020,Electric,165000,57322,75171,2,Leasing
BYD,Atto 3,2024,Electric,165000,147981,2376,1,Private
Renault,Megane,2023,Diesel,140000,140000,9505,1,Private
Skoda,Octavia,2023,Petrol,160000,82095,25285,2,Private
Toyota,Corolla,2024,Hybrid,155000,124575,1000,1,Leasing
Mazda,Mazda 3,2021,Petrol,150000,71015,59376,2,Private
Kia,Sportage,2024,Petrol,175000,169520,1000,1,Private
Skoda,Octavia,2022,Petrol,160000,93583,37929,3,Leasing
BYD,Atto 3,2023,Electric,165000,164296,14415,2,Private
Geely,Geometry C,2021,Electric,155000,155000,44667,2,Private
BYD,Atto 3,2021,Electric,165000,110004,52251,2,Company
Mazda,Mazda 3,2018,Petrol,150000,71807,109308,2,Private
Hyundai,Tucson,2020,Petrol,175000,122420,69361,1,Company
Kia,Sportage,2019,Petrol,175000,61854,93857,3,Private
Tesla,Model 3,2021,Electric,200000,130908,53039,1,Leasing
Mazda,Mazda 3,2024,Petrol,150000,97365,6952,1,Private
Geely,Geometry C,2021,Electric,155000,114583,50988,1,Leasing
BYD,Atto 3,2022,Electric,165000,99306,38343,2,Private
Skoda,Octavia,2021,Petrol,160000,149693,49229,2,Private
Skoda,Octavia,2024,Petrol,160000,155364,1000,1,Private
Geely,Geometry C,2022,Electric,155000,75971,41265,1,Private
Mazda,Mazda 3,2023,Petrol,150000,61375,28166,1,Private
BYD,Atto 3,2024,Electric,165000,140102,1000,1,Leasing
Geely,Geometry C,2022,Electric,155000,63143,40633,2,Company
Mazda,Mazda 3,2019,Petrol,150000,100394,87213,3,Company
Geely,Geometry C,2022,Electric,155000,155000,30679,1,Private
Geely,Geometry C,2024,Electric,155000,115617,2349,1,Company
Geely,Geometry C,2024,Electric,155000,62425,9573,1,Leasing
Skoda,Octavia,2023,Petrol,160000,160000,12639,1,Private
Geely,Geometry C,2019,Electric,155000,155000,75393,2,Private
Mazda,Mazda 3,2023,Petrol,150000,81707,22722,2,Leasing
Kia,Sportage,2024,Petrol,175000,164119,1000,1,Private
Tesla,Model 3,2021,Electric,200000,52810,61913,2,Private
Skoda,Octavia,2021,Petrol,160000,102920,55373,2,Private
Toyota,Corolla,2024,Hybrid,155000,144687,1000,1,Private
BYD,Atto 3,2020,Electric,165000,87562,72574,2,Private
Hyundai,Tucson,2020,Petrol,175000,105975,72566,1,Private
Mazda,Mazda 3,2018,Petrol,150000,140022,100808,3,Private
Hyundai,Tucson,2019,Petrol,175000,20000,100099,2,Private
Kia,Sportage,2020,Petrol,175000,175000,62848,2,Private
Toyota,Corolla,2024,Hybrid,155000,148608,1000,1,Private
Skoda,Octavia,2020,Petrol,160000,75474,74117,1,Leasing
Toyota,Corolla,2024,Hybrid,155000,126828,1000,1,Leasing
Skoda,Octavia,2019,Petrol,160000,89612,89794,3,Private
Tesla,Model 3,2018,Electric,200000,102362,105489,2,Leasing
Geely,Geometry C,2021,Electric,155000,79699,56793,2,Private
Geely,Geometry C,2020,Electric,155000,78044,73383,1,Private
Kia,Sportage,2021,Petrol,175000,90384,57660,2,Private
Renault,Megane,2019,Diesel,140000,68966,88805,2,Private
Geely,Geometry C,2024,Electric,155000,145510,1000,1,Private
Tesla,Model 3,2021,Electric,200000,112781,56018,3,Private
Hyundai,Tucson,2019,Petrol,175000,91604,89879,3,Private
Mazda,Mazda 3,2023,Petrol,150000,143816,15989,2,Private
Kia,Sportage,2021,Petrol,175000,96442,56621,2,Private
Tesla,Model 3,2020,Electric,200000,125564,69484,2,Company
Geely,Geometry C,2020,Electric,155000,22463,79219,1,Leasing
Skoda,Octavia,2020,Petrol,160000,153289,64195,2,Leasing
Kia,Sportage,2020,Petrol,175000,156648,64859,2,Leasing
Toyota,Corolla,2018,Hybrid,155000,110921,105971,2,Private
Kia,Sportage,2023,Petrol,175000,142241,17663,1,Leasing
BYD,Atto 3,2022,Electric,165000,66136,40443,3,Leasing
Skoda,Octavia,2022,Petrol,160000,147819,33366,1,Private
Geely,Geometry C,2018,Electric,155000,134570,98573,3,Private
Geely,Geometry C,2021,Electric,155000,99962,52518,3,Company
Geely,Geometry C,2022,Electric,155000,77853,40512,3,Private
Toyota,Corolla,2023,Hybrid,155000,136649,19072,2,Private
Hyundai,Tucson,2022,Petrol,175000,165462,32331,1,Private
Geely,Geometry C,2022,Electric,155000,118978,36180,1,Private
Renault,Megane,2018,Diesel,140000,83195,102397,3,Leasing
Renault,Megane,2022,Diesel,140000,103286,35450,3,Private
